Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Median_income,Lower_education_count,Higher_education_count,Total_population,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,Population,Previous_population,Population_growth_rate,Population_growth
2021,Mora,87.9,15.0,28.999999999999996,5.0,2.0,5.0,0.0,10.0,24.0,10.0,6.6,380.2,340.5,2110.0,2725.0,20603.0,10.24,13.23,1.2915,20490.0,20603.0,-0.005484638159491336,-113.0
2021,Orsa,79.4,0.0,42.0,6.0,3.0,6.0,0.0,6.0,26.0,10.0,8.7,351.6,318.1,633.0,761.0,6926.0,9.14,10.99,1.2022,6898.0,6926.0,-0.0040427375108287615,-28.000000000000004
2021,Rättvik,88.7,0.0,33.0,5.0,0.0,5.0,0.0,15.0,26.0,15.0,7.7,385.6,342.0,1153.0,1279.0,11089.0,10.4,11.53,1.1093,11028.0,11089.0,-0.005500946884299756,-61.0
2021,Smedjebacken,92.2,0.0,11.0,0.0,3.0,6.0,3.0,14.000000000000002,49.0,14.000000000000002,6.4,372.0,347.1,949.0,1067.0,10935.0,8.68,9.76,1.1243,10842.0,10935.0,-0.00850480109739369,-93.0
2021,Säter,88.0,0.0,23.0,3.0,3.0,6.0,3.0,20.0,31.0,11.0,6.3,389.5,347.3,1127.0,1354.0,11227.0,10.04,12.06,1.2014,11147.0,11227.0,-0.0071256791662955375,-80.0
2021,Vansbro,85.7,16.0,26.0,13.0,0.0,6.0,0.0,10.0,26.0,3.0,6.9,360.7,328.5,517.0,542.0,6764.0,7.64,8.01,1.0484,6807.0,6764.0,0.0063571850975754,43.0
2021,Älvdalen,87.0,9.0,31.0,0.0,0.0,3.0,3.0,9.0,31.0,14.000000000000002,8.3,353.9,328.0,542.0,585.0,7029.0,7.71,8.32,1.0793,7034.0,7029.0,0.0007113387395077536,5.0
2022,Avesta,87.3,0.0,7.000000000000001,5.0,0.0,5.0,0.0,22.0,44.0,17.0,6.7,350.5,323.3,2021.0,2196.0,22926.0,8.82,9.58,1.0866,22929.0,22926.0,0.00013085579691180318,2.9999999999999996
2022,Borlänge,83.7,0.0,8.0,7.000000000000001,3.0,7.000000000000001,5.0,18.0,34.0,18.0,7.3,342.2,314.0,5365.0,6468.0,52208.0,10.28,12.39,1.2056,52260.0,52208.0,0.00099601593625498,52.0
2022,Falun,92.2,0.0,11.0,7.000000000000001,5.0,8.0,5.0,20.0,33.0,11.0,6.0,379.2,333.6,7056.0,11713.0,59855.0,11.79,19.57,1.66,59788.0,59855.0,-0.0011193718152201152,-67.0
