Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2019,Orsa,85.7,0.0,41.94,6.45,3.23,6.45,0.0,6.45,25.81,9.68,8.9,341.8,9.12,10.2,1.1189,706.09,6897.0,-0.003323699421965318
2019,Rättvik,90.4,0.0,33.33,5.13,0.0,5.13,0.0,15.38,25.64,15.38,7.3,361.6,10.17,10.69,1.0511,1172.1,10897.0,-0.006110908427581174
2019,Smedjebacken,90.7,0.0,11.43,0.0,2.86,5.71,2.86,14.29,48.57,14.29,6.2,361.7,8.24,9.07,1.1003,987.08,10881.0,-0.0004593055300385817
2019,Säter,90.9,0.0,22.86,2.86,2.86,5.71,2.86,20.0,31.43,11.43,6.8,364.6,9.67,11.52,1.1907,1280.1,11143.0,0.0027897768178545717
2019,Vansbro,75.0,16.13,25.81,12.9,0.0,6.45,0.0,9.68,25.81,3.23,7.3,341.1,7.66,7.64,0.9981,519.08,6789.0,-0.00044169611307420494
2019,Älvdalen,95.3,8.57,31.43,0.0,0.0,2.86,2.86,8.57,31.43,14.29,7.9,337.9,7.18,7.92,1.103,557.07,7114.0,0.012092758571631812
2020,Avesta,81.5,0.0,7.32,2.44,0.0,4.88,2.44,21.95,46.34,14.63,7.2,351.7,8.35,9.05,1.0829,2090.08,23185.0,0.00367965367965368
2020,Borlänge,84.1,1.64,8.2,4.92,3.28,8.2,4.92,19.67,32.79,16.39,8.0,339.5,9.89,11.8,1.1934,6190.1,52505.0,0.001258605236560575
2020,Falun,90.8,1.64,16.39,4.92,4.92,11.48,3.28,19.67,27.87,9.84,7.2,373.6,11.46,18.64,1.6256,11095.11,59382.0,-0.002603423081445152
2020,Gagnef,87.0,14.29,25.71,11.43,2.86,2.86,2.86,11.43,22.86,5.71,6.8,368.3,9.23,11.49,1.2443,1192.09,10311.0,-0.0062644564379336935
2020,Hedemora,88.5,12.2,14.63,2.44,2.44,4.88,2.44,17.07,29.27,14.63,8.5,351.1,8.99,9.91,1.1032,1529.09,15469.0,0.0029825585165013293
2020,Leksand,91.4,6.12,30.61,8.16,0.0,8.16,2.04,16.33,20.41,8.16,8.0,376.1,11.21,14.57,1.3002,2300.11,15818.0,0.0022810797110632366
2020,Ludvika,89.0,2.22,8.89,2.22,4.44,8.89,2.22,22.22,33.33,15.56,7.7,341.0,8.61,11.65,1.3538,3107.09,26921.0,0.009562739068476711
2020,Malung-Sälen,88.4,2.56,7.69,0.0,0.0,5.13,5.13,20.51,41.03,17.95,7.7,367.3,8.39,8.96,1.0684,906.08,10087.0,-0.0024723101265822786
2020,Mora,86.4,14.63,29.27,4.88,2.44,4.88,0.0,9.76,24.39,9.76,7.3,371.2,10.0,12.85,1.2839,2632.1,20414.0,-0.003709126403123475
2020,Orsa,88.3,0.0,41.94,6.45,3.23,6.45,0.0,6.45,25.81,9.68,9.7,340.3,9.03,10.63,1.1766,733.09,6920.0,0.0031893302406494637
2020,Rättvik,98.4,0.0,33.33,5.13,0.0,5.13,0.0,15.38,25.64,15.38,7.6,370.7,10.36,11.1,1.0709,1224.1,10964.0,-0.005803409503083061
2020,Smedjebacken,92.7,0.0,11.43,0.0,2.86,5.71,2.86,14.29,48.57,14.29,6.6,356.2,8.35,9.47,1.1348,1027.08,10886.0,0.0040582918280760005
2020,Säter,93.9,0.0,22.86,2.86,2.86,5.71,2.86,20.0,31.43,11.43,6.7,362.1,9.8,11.7,1.1941,1304.1,11112.0,-0.003139858257827218
2020,Vansbro,93.1,16.13,25.81,12.9,0.0,6.45,0.0,9.68,25.81,3.23,7.7,344.3,7.64,7.92,1.0365,539.08,6792.0,-0.0022036139268400176
