Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Left_minus_Right,Median_income,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2020,Hedemora,88.5,36.59,34.14,2.450000000000003,319.7,8.5,351.1,8.99,9.91,1.1032,1529.09,15469.0,0.0029825585165013293
2020,Leksand,91.4,28.57,32.65,-4.079999999999998,341.4,8.0,376.1,11.21,14.57,1.3002,2300.11,15818.0,0.0022810797110632366
2020,Ludvika,89.0,46.66,40.0,6.659999999999997,321.9,7.7,341.0,8.61,11.65,1.3538,3107.09,26921.0,0.009562739068476711
2020,Malung-Sälen,88.4,46.160000000000004,38.46,7.700000000000003,339.1,7.7,367.3,8.39,8.96,1.0684,906.08,10087.0,-0.0024723101265822786
2020,Mora,86.4,31.71,24.4,7.310000000000002,333.6,7.3,371.2,10.0,12.85,1.2839,2632.1,20414.0,-0.003709126403123475
2020,Orsa,88.3,35.49,22.58,12.910000000000004,312.3,9.7,340.3,9.03,10.63,1.1766,733.09,6920.0,0.0031893302406494637
2020,Rättvik,98.4,30.77,35.89,-5.120000000000001,336.7,7.6,370.7,10.36,11.1,1.0709,1224.1,10964.0,-0.005803409503083061
2020,Smedjebacken,92.7,57.14,28.58,28.560000000000002,338.1,6.6,356.2,8.35,9.47,1.1348,1027.08,10886.0,0.0040582918280760005
2020,Säter,93.9,40.0,34.29,5.710000000000001,339.7,6.7,362.1,9.8,11.7,1.1941,1304.1,11112.0,-0.003139858257827218
2020,Vansbro,93.1,32.26,25.81,6.449999999999999,320.8,7.7,344.3,7.64,7.92,1.0365,539.08,6792.0,-0.0022036139268400176
2020,Älvdalen,95.2,34.29,22.86,11.43,327.2,7.8,347.6,7.38,8.15,1.104,573.07,7029.0,-0.0007108330963889679
2021,Avesta,74.3,51.220000000000006,39.02,12.200000000000003,333.1,7.4,356.6,8.57,9.28,1.0824,2128.09,23100.0,0.007457804527018186
2021,Borlänge,86.4,44.269999999999996,40.980000000000004,3.289999999999992,325.3,7.4,354.9,9.98,12.08,1.2112,6314.1,52439.0,0.003425181783390739
2021,Falun,90.6,44.269999999999996,34.43000000000001,9.83999999999999,346.0,6.8,390.8,11.61,19.15,1.6502,11451.12,59537.0,-0.00419816685622533
2021,Gagnef,96.4,28.58,28.57,0.00999999999999801,346.6,6.7,381.0,9.71,11.73,1.208,1231.1,10376.0,-0.011527102981804324
2021,Hedemora,83.5,36.59,34.14,2.450000000000003,327.2,8.1,369.7,9.23,10.01,1.0849,1546.09,15423.0,-0.0014890586559627088
2021,Leksand,89.0,28.57,32.65,-4.079999999999998,353.4,7.4,417.5,11.32,15.12,1.3359,2422.11,15782.0,-0.014487323591857126
2021,Ludvika,87.1,46.66,40.0,6.659999999999997,326.2,7.1,350.8,8.75,12.15,1.3887,3219.09,26666.0,0.006340101139708657
2021,Malung-Sälen,90.0,46.160000000000004,38.46,7.700000000000003,352.9,7.1,399.3,8.64,9.23,1.0683,938.09,10112.0,-0.0046264396101978545
2021,Mora,87.9,31.71,24.4,7.310000000000002,340.5,6.6,380.2,10.24,13.23,1.2915,2725.1,20490.0,-0.005484638159491336
2021,Orsa,79.4,35.49,22.58,12.910000000000004,318.1,8.7,351.6,9.14,10.99,1.2022,761.09,6898.0,-0.0040427375108287615
2021,Rättvik,88.7,30.77,35.89,-5.120000000000001,342.0,7.7,385.6,10.4,11.53,1.1093,1279.1,11028.0,-0.005500946884299756
2021,Smedjebacken,92.2,57.14,28.58,28.560000000000002,347.1,6.4,372.0,8.68,9.76,1.1243,1067.09,10842.0,-0.00850480109739369
2021,Säter,88.0,40.0,34.29,5.710000000000001,347.3,6.3,389.5,10.04,12.06,1.2014,1354.1,11147.0,-0.0071256791662955375
2021,Vansbro,85.7,32.26,25.81,6.449999999999999,328.5,6.9,360.7,7.64,8.01,1.0484,542.08,6807.0,0.0063571850975754
2021,Älvdalen,87.0,34.29,22.86,11.43,328.0,8.3,353.9,7.71,8.32,1.0793,585.08,7034.0,0.0007113387395077536
2022,Avesta,87.3,48.78,43.9,4.880000000000003,323.3,6.7,350.5,8.82,9.58,1.0866,2196.09,22929.0,0.00013085579691180318
2022,Borlänge,83.7,44.27,42.620000000000005,1.6499999999999986,314.0,7.3,342.2,10.28,12.39,1.2056,6468.1,52260.0,0.00099601593625498
2022,Falun,92.2,45.91,37.71,8.199999999999996,333.6,6.0,379.2,11.79,19.57,1.66,11713.12,59788.0,-0.0011193718152201152
2022,Gagnef,91.0,28.57,40.0,-11.43,331.9,6.4,360.1,10.13,12.11,1.1959,1270.1,10497.0,0.0009535615523982073
2022,Hedemora,89.1,34.28,42.86,-8.579999999999998,313.6,7.2,342.8,9.49,10.3,1.0853,1591.09,15446.0,0.0003238132245320899
2022,Leksand,84.3,34.150000000000006,31.71,2.440000000000005,340.8,6.5,389.2,11.46,15.64,1.3642,2521.11,16014.0,-0.0065140517401823935
2022,Ludvika,84.5,44.44,42.22,2.219999999999999,313.7,6.6,338.7,9.08,12.5,1.3767,3293.09,26498.0,0.005883916030824127
2022,Malung-Sälen,93.3,41.03,41.02,0.00999999999999801,339.2,6.9,389.2,8.95,9.44,1.0547,964.09,10159.0,-0.00548213411649535
2022,Mora,85.1,29.27,29.279999999999998,-0.00999999999999801,326.4,6.3,369.8,10.34,13.42,1.2976,2773.1,20603.0,-0.0031931878658861094
2022,Orsa,92.6,32.26,32.26,0.0,308.1,7.5,335.8,9.53,11.15,1.1697,772.1,6926.0,0.0
2022,Rättvik,90.1,30.77,43.59,-12.820000000000004,330.3,6.8,358.1,10.5,11.82,1.1256,1317.11,11089.0,-0.004399353564374214
2022,Smedjebacken,92.9,62.86,31.43,31.43,332.6,5.8,357.1,8.86,10.07,1.1371,1103.09,10935.0,-0.0016433853738701725
2022,Säter,85.1,42.86,40.0,2.8599999999999994,333.0,6.0,359.5,10.15,12.39,1.2205,1395.1,11227.0,-0.003196306490277901
2022,Vansbro,72.0,32.26,48.38,-16.120000000000005,313.0,6.7,371.6,7.82,8.41,1.0753,571.08,6764.0,-0.0035356511490866236
2022,Älvdalen,82.7,31.43,34.29,-2.8599999999999994,321.2,7.4,344.8,7.9,8.53,1.0794,598.08,7029.0,0.0024244152880775814
2023,Avesta,81.9,48.78,43.9,4.880000000000003,314.4,7.8,339.0,8.91,9.71,1.0906,2216.09,22926.0,0.0049533160917021
2023,Borlänge,85.0,44.27,42.620000000000005,1.6499999999999986,306.5,7.9,334.0,10.49,12.69,1.2099,6572.1,52208.0,0.008382585853903503
2023,Falun,90.2,45.91,37.71,8.199999999999996,326.9,6.9,362.5,11.7,19.96,1.7063,11968.12,59855.0,-0.0018843383137673426
2023,Gagnef,91.5,28.57,40.0,-11.43,322.9,7.0,355.2,10.1,12.3,1.2182,1284.1,10487.0,0.004694385897681549
2023,Hedemora,82.6,34.28,42.86,-8.579999999999998,308.7,8.5,335.4,9.7,10.49,1.0814,1608.1,15441.0,0.006846635367762128
2023,Leksand,87.2,34.150000000000006,31.71,2.440000000000005,333.8,7.8,373.9,11.73,15.78,1.345,2538.12,16119.0,0.0023630371245569304
2023,Ludvika,85.5,44.44,42.22,2.219999999999999,311.9,7.3,338.0,9.11,13.05,1.4321,3447.09,26343.0,-0.002687968501552207
2023,Malung-Sälen,84.9,41.03,41.02,0.00999999999999801,331.2,7.4,372.9,8.97,9.68,1.0787,987.09,10215.0,0.00186347587289133
2023,Mora,88.3,29.27,29.279999999999998,-0.00999999999999801,326.6,7.3,359.7,10.39,13.8,1.3276,2837.1,20669.0,0.005301556420233463
2023,Orsa,84.6,32.26,32.26,0.0,307.5,8.7,327.8,9.57,11.46,1.1979,793.1,6926.0,0.0008670520231213873
2023,Rättvik,88.6,30.77,43.59,-12.820000000000004,320.2,8.2,347.3,10.8,12.06,1.117,1337.11,11138.0,0.005053239487457137
2023,Smedjebacken,92.2,62.86,31.43,31.43,329.0,6.9,356.3,9.09,10.31,1.1345,1130.09,10953.0,-0.0002738225629791895
2023,Säter,82.8,42.86,40.0,2.8599999999999994,325.9,7.0,349.5,10.18,12.78,1.2548,1438.1,11263.0,0.0006218905472636816
2023,Vansbro,73.2,32.26,48.38,-16.120000000000005,306.9,7.1,336.2,7.93,8.58,1.0824,578.08,6788.0,0.008019008019008018
2023,Älvdalen,87.8,31.43,34.29,-2.8599999999999994,318.5,7.8,340.5,7.94,8.81,1.1091,610.08,7012.0,0.012855698396648851
